seq_id,domain,phylum,class,order,family,genus,species
KP864881.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KP865636.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
LC101798.1,Eukaryota,Porifera,Demospongiae,Chondrillida,Chondrillidae,Chondrilla,Chondrilla sp. PGC-2015
KX349910.1,Eukaryota,Platyhelminthes,Cestoda,Bothriocephalidea,Bothriocephalidae,Schyzocotyle,Schyzocotyle acheilognathi
AB066489.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Taenia,Taenia solium
KP865657.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KP865332.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KP865088.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KU060638.1,Eukaryota,Porifera,Demospongiae,Haplosclerida,Callyspongiidae,Callyspongia,Callyspongia sp. GW3398
HG423712.1,Eukaryota,Porifera,Demospongiae,Polymastiida,Polymastiidae,Polymastia,Polymastia invaginata
HM592711.1,Eukaryota,Porifera,Demospongiae,Tetractinellida,Geodiidae,Geodia,Geodia vosmaeri
KP864805.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KP864819.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KP865668.1,Eukaryota,Platyhelminthes,Cestoda,Diphyllobothriidea,Diphyllobothriidae,Schistocephalus,Schistocephalus solidus
KY062627.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus multilocularis
AB491470.1,Eukaryota,Platyhelminthes,Cestoda,Cyclophyllidea,Taeniidae,Echinococcus,Echinococcus shiquicus
HE611608.1,Eukaryota,Porifera,Demospongiae,Poecilosclerida,Coelosphaeridae,Lissodendoryx,Lissodendoryx sp. QMB G300820
